reaction,DGdd_true,AR_smiles,AR_atom,AH_smiles,AH_atom,BR_smiles,BR_atom,BH_smiles,BH_atom,DE,DH,DG,AR_SOMO,AR_IE,AR_EA,AR_Eneg,AR_Soft,AR_Q,AR_Fuk0,AR_BO,AR_BV3,AR_BV4,AR_BV5,AH_HOMO,AH_LUMO,AH_CP,AH_Hard,AH_Soft,AH_Ephil,AH_Q,AH_FukP,AH_FukM,AH_FukD,AH_BO,AH_BOH,AH_BOX,AH_BV3,AH_BV4,AH_BV5,BR_SOMO,BR_IE,BR_EA,BR_Eneg,BR_Soft,BR_Q,BR_Fuk0,BR_BO,BR_BV3,BR_BV4,BR_BV5,BH_HOMO,BH_LUMO,BH_CP,BH_Hard,BH_Soft,BH_Ephil,BH_Q,BH_FukP,BH_FukM,BH_FukD,BH_BO,BH_BOH,BH_BOX,BH_BV3,BH_BV4,BH_BV5
0,0,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,[CH2]CCC(C)C,0,CCCC(C)C,0,1.7022967468723784,-4.1000000000000085,-4.799999999999997,-10.2862,8.6121,3.2751,5.9436,0.1873711823121604,-0.41150701,-0.255,1.253930703986294,0.42557173718712754,0.3170271863943889,0.20574682286903598,-10.5976,-5.9011,-8.24935,2.34825,0.42584903651655487,14.489891498456297,-0.44947988,-0.005,-0.089,0.08399999999999999,0.938400502118838,0.8993954599342571,0.9774055443034187,0.4645224970202622,0.33455791074421204,0.21584584213679794,-8.2679,7.1232,0.2234,3.6733,0.1449317371518015,-0.11271687,-0.208,1.0235951191345256,0.37157330154946366,0.21871702563465956,0.1515641260130554,-11.3188,1.8407,-4.73905,6.57975,0.15198145826209203,1.706645001899768,-0.10161393,0.007,0.021,-0.014000000000000002,0.9955941420768759,0.9878952058143006,1.0186909508646018,0.40735808998808104,0.23357876606045558,0.15884866450127716
1,0,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,C[CH]CC(C)C,1,CCCC(C)C,1,-4.427298729423348,-7.900000000000006,-8.899999999999991,-10.2862,8.6121,3.2751,5.9436,0.1873711823121604,-0.41150701,-0.255,1.253930703986294,0.42557173718712754,0.3170271863943889,0.20574682286903598,-10.5976,-5.9011,-8.24935,2.34825,0.42584903651655487,14.489891498456297,-0.44947988,-0.005,-0.089,0.08399999999999999,0.938400502118838,0.8993954599342571,0.9774055443034187,0.4645224970202622,0.33455791074421204,0.21584584213679794,-7.7231,6.4629,0.1255,3.2942,0.15779341685864864,-0.07306071,-0.221,1.0434685489877726,0.5449288587604291,0.31750046552045186,0.19595526788811454,-11.3188,1.8407,-4.73905,6.57975,0.15198145826209203,1.706645001899768,-0.05234450,-0.025,0.007,-0.032,0.9955385470926085,0.9775902873515514,1.0134868068336655,0.5659080750893921,0.3283975234311961,0.20243369808583772
2,0,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,CC[CH]C(C)C,2,CCCC(C)C,2,-3.67768235161413,-6.900000000000006,-7.8999999999999915,-10.2862,8.6121,3.2751,5.9436,0.1873711823121604,-0.41150701,-0.255,1.253930703986294,0.42557173718712754,0.3170271863943889,0.20574682286903598,-10.5976,-5.9011,-8.24935,2.34825,0.42584903651655487,14.489891498456297,-0.44947988,-0.005,-0.089,0.08399999999999999,0.938400502118838,0.8993954599342571,0.9774055443034187,0.4645224970202622,0.33455791074421204,0.21584584213679794,-7.8204,6.5834,0.5409,3.56215,0.16549441456350847,-0.07876992,-0.22,1.0330227649863515,0.6024377979737783,0.38105952454844516,0.20449528554760177,-11.3188,1.8407,-4.73905,6.57975,0.15198145826209203,1.706645001899768,-0.06381606,-0.035,0.009,-0.044000000000000004,0.9892884753027126,0.9762512999686483,1.0023256506367768,0.6268623361144219,0.3942880640556142,0.21221539844218096
3,0,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,CCC[C](C)C,3,CCCC(C)C,3,-8.048664503277266,-9.200000000000003,-10.700000000000003,-10.2862,8.6121,3.2751,5.9436,0.1873711823121604,-0.41150701,-0.255,1.253930703986294,0.42557173718712754,0.3170271863943889,0.20574682286903598,-10.5976,-5.9011,-8.24935,2.34825,0.42584903651655487,14.489891498456297,-0.44947988,-0.005,-0.089,0.08399999999999999,0.938400502118838,0.8993954599342571,0.9774055443034187,0.4645224970202622,0.33455791074421204,0.21584584213679794,-7.4156,6.0268,0.0824,3.0545999999999998,0.1682255568265931,-0.03919869,-0.227,1.0559837625404758,0.6489775774731824,0.34349978275712245,0.1981193434454921,-11.3188,1.8407,-4.73905,6.57975,0.15198145826209203,1.706645001899768,-0.01009318,-0.047,-0.01,-0.037,0.9958208166286519,0.9691381072070615,1.004715053102515,0.6671819129916567,0.35461796288250264,0.20391386269748668
4,0,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,[CH2]C(C)CCC,0,CCCC(C)C,4,2.3241802558851345,-3.799999999999997,-4.3999999999999915,-10.2862,8.6121,3.2751,5.9436,0.1873711823121604,-0.41150701,-0.255,1.253930703986294,0.42557173718712754,0.3170271863943889,0.20574682286903598,-10.5976,-5.9011,-8.24935,2.34825,0.42584903651655487,14.489891498456297,-0.44947988,-0.005,-0.089,0.08399999999999999,0.938400502118838,0.8993954599342571,0.9774055443034187,0.4645224970202622,0.33455791074421204,0.21584584213679794,-8.1907,7.1992,0.3419,3.77055,0.1458299913960305,-0.11714623,-0.214,1.0173049009279989,0.4412712306317044,0.29446108249022407,0.17922211535429347,-11.3188,1.8407,-4.73905,6.57975,0.15198145826209203,1.706645001899768,-0.10557157,0.031,0.019,0.012,0.9919352201884437,0.986013122253332,1.0097015139937786,0.478005810488677,0.3111383526782943,0.18760840087036043
