reaction,AR_smiles,AR_atom,AH_smiles,AH_atom,BR_smiles,BR_atom,BH_smiles,BH_atom,DGdd_pred,DGdd_true
0,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,[CH2]CCC(C)C,0,CCCC(C)C,0,17.35,0
1,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,C[CH]CC(C)C,1,CCCC(C)C,1,16.09,0
2,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,CC[CH]C(C)C,2,CCCC(C)C,2,16.80,0
3,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,CCC[C](C)C,3,CCCC(C)C,3,14.23,0
4,CC(C)([O])c1ccccc1,3,CC(C)(O)c1ccccc1,3,[CH2]C(C)CCC,0,CCCC(C)C,4,17.69,0
